"outcome","term","n.reps","mean.est","sd.est","mc.se","mean.se","truth","diff","t","verdict"
"death","age",20,0.0501788291422019,0.00286875345046354,0.000641472772592356,0.00107282752541323,0.05,0.00017882914220186,0.278779006440391,"ok"
"death","cancer.typeBladder",20,0.189019190690365,0.100634333417047,0.0225025210390896,0.034905542138618,0.2,-0.0109808093096347,-0.487981292876459,"ok"
"death","cancer.typeKidney",20,0.166836913581856,0.0854677879875975,0.0191111783826808,0.0360653826029042,0.15,0.0168369135818565,0.880998190939113,"ok"
"death","cancer.typeMelanoma",20,-0.0906322917744366,0.103740980335482,0.0231971884082607,0.037790211440604,-0.1,0.00936770822556336,0.403829466773975,"ok"
"death","ecog1",20,0.56819508381552,0.0730320588904956,0.0163304648215916,0.0232693476454915,0.55,0.0181950838155197,1.11418039929046,"ok"
"death","ecog2",20,1.10246906034468,0.0881971547903728,0.0197214833533345,0.0301885342843203,1.1,0.00246906034467509,0.125196482457169,"ok"
"death","ecog3",20,1.51824718553006,0.110476517470302,0.0247033002981039,0.0447936578091273,1.5,0.0182471855300617,0.738653755160894,"ok"
"death","initial.stageIV",20,0.40553820848424,0.0725156489480428,0.0162149920480335,0.0230581143157493,0.4,0.00553820848423975,0.34154864016177,"ok"
"death","on.ici",20,-0.164963488286456,0.0733858371030862,0.0164095720348227,0.0273444923932808,-0.2,0.0350365117135435,2.1351264761319,"borderline"
"death","practice.typeCommunity",20,0.0140973384309767,0.0658269826586184,0.0147193607978371,0.0216515550596332,0,0.0140973384309767,0.957741210681393,"ok"
"death","sexFemale",20,0.0125730574650032,0.0332562434586301,0.00743632210497796,0.0198525288405095,0,0.0125730574650032,1.69076289158947,"ok"
"irae","age",20,-0.00179494736716205,0.00327794563784671,0.000732970927277415,0.00170362989627056,0,-0.00179494736716205,-2.44886570580541,"borderline"
"irae","cancer.typeMelanoma",20,0.101697590755187,0.174914094644154,0.0391119805847161,0.0590439110910354,0.15,-0.0483024092448126,-1.23497732722049,"ok"
"irae","ecog1",20,0.00173516705531576,0.0970488156062559,0.0217007748831431,0.0350701811861381,0,0.00173516705531576,0.0799587602129183,"ok"
"irae","ecog2",20,-0.028225456523068,0.148599098268244,0.0332277685122965,0.0632997565997275,0,-0.028225456523068,-0.849453869062037,"ok"
"irae","on.ici",20,0.339118703699204,0.125871089681988,0.0281456312930897,0.0497853221783516,0.3,0.039118703699204,1.38986769533957,"ok"
"irae","pd.l1High",20,0.245498771589026,0.122627209350947,0.0274202775999816,0.0418915341697636,0.25,-0.00450122841097431,-0.164156923450597,"ok"
"irae","pd.l1Low",20,-0.0316218307896534,0.117818572454529,0.026345033702031,0.0386533249685877,0,-0.0316218307896534,-1.20029570458343,"ok"
"irae","practice.typeCommunity",20,-0.0156475943239026,0.0802239848271419,0.0179386283499401,0.0350585219809933,0,-0.0156475943239026,-0.872284882581606,"ok"
"irae","sexFemale",20,0.197504501075584,0.0565555272871525,0.0126462003517417,0.0321878510085385,0.2,-0.00249549892441561,-0.19733191433045,"ok"
"irae","tx.combo",20,0.255750542360453,0.0902245892713921,0.0201748314852831,0.0326326158509772,0.25,0.00575054236045336,0.285035459386523,"ok"
