"outcome","term","estimate","std.error","rep","seed"
"death","(Intercept)",-9.31330843720173,0.0944100016957413,1,1001
"death","ns(month, df = 3)1",0.350745811968053,0.0473218965825326,1,1001
"death","ns(month, df = 3)2",0.880288418178101,0.083144138351546,1,1001
"death","ns(month, df = 3)3",0.905536349672428,0.0423862495050367,1,1001
"death","age",0.0512534006524774,0.00106339818907316,1,1001
"death","sexFemale",-0.00217594783959553,0.0197121531065665,1,1001
"death","ecog1",0.664524706003425,0.023043104079884,1,1001
"death","ecog2",1.108095003556,0.0299064002646281,1,1001
"death","ecog3",1.63147841679463,0.045640329318466,1,1001
"death","cancer.typeBladder",0.0622170924891481,0.0361050874574681,1,1001
"death","cancer.typeKidney",0.0490985347587323,0.0358581574553656,1,1001
"death","cancer.typeMelanoma",-0.0491362836025286,0.0367917531695518,1,1001
"death","practice.typeCommunity",0.0509727696194341,0.021418837691595,1,1001
"death","initial.stageIV",0.530398176045239,0.0237130909442482,1,1001
"death","on.ici",-0.216203912472327,0.0271192421443986,1,1001
"irae","(Intercept)",-5.88081489670066,0.140696884613997,1,1001
"irae","ns(month, df = 3)1",-0.211977796707599,0.0791371626924377,1,1001
"irae","ns(month, df = 3)2",-0.334553996648445,0.116426946589495,1,1001
"irae","ns(month, df = 3)3",-0.292139011363595,0.088895445538618,1,1001
"irae","age",-0.00261594600687108,0.00173434341811316,1,1001
"irae","sexFemale",0.155503697488413,0.0328817850180772,1,1001
"irae","ecog1",-0.0850121535184207,0.0360032997061894,1,1001
"irae","ecog2",-0.0476182933956003,0.062943407399257,1,1001
"irae","ecog3",-0.27929541849125,0.141405591633808,1,1001
"irae","cancer.typeBladder",0.121912311606203,0.0615894744440179,1,1001
"irae","cancer.typeKidney",-0.0892549297709661,0.0671699140926747,1,1001
"irae","cancer.typeMelanoma",0.265515997987344,0.0567519669391925,1,1001
"irae","practice.typeCommunity",-0.0747893275904741,0.0352696261200614,1,1001
"irae","tx.combo",0.170919133782155,0.0333548898228099,1,1001
"irae","pd.l1Low",0.0261940921487512,0.039230863844691,1,1001
"irae","pd.l1High",0.315776696547743,0.0423659958915227,1,1001
"irae","on.ici",0.373876605671584,0.0509649782139793,1,1001
"death","(Intercept)",-9.20720470913607,0.0933683719992833,2,1002
"death","ns(month, df = 3)1",0.567601021845119,0.0461663017732276,2,1002
"death","ns(month, df = 3)2",1.04476642512698,0.0832637615782584,2,1002
"death","ns(month, df = 3)3",0.865769941646111,0.0423123849746163,2,1002
"death","age",0.0487826494900161,0.00106173959141212,2,1002
"death","sexFemale",0.032581490608904,0.0193058758768151,2,1002
"death","ecog1",0.56444569079294,0.0225118327496602,2,1002
"death","ecog2",1.20375608740434,0.0293403639152059,2,1002
"death","ecog3",1.44722688869749,0.0432127535858313,2,1002
"death","cancer.typeBladder",0.287446215707071,0.0332473828257633,2,1002
"death","cancer.typeKidney",0.177810352878902,0.033711737874986,2,1002
"death","cancer.typeMelanoma",-0.0391032869648706,0.037073622697675,2,1002
"death","practice.typeCommunity",0.0486662523170064,0.0209952754143166,2,1002
"death","initial.stageIV",0.478964434210365,0.0228065418431279,2,1002
"death","on.ici",-0.177517280609739,0.0262916070886654,2,1002
"irae","(Intercept)",-6.13863473824036,0.138607745379964,2,1002
"irae","ns(month, df = 3)1",-0.471376996425589,0.0772273504163944,2,1002
"irae","ns(month, df = 3)2",0.00181883224284058,0.115393116308457,2,1002
"irae","ns(month, df = 3)3",-0.149769510405143,0.0820161281678577,2,1002
"irae","age",0.000487821860240361,0.00169216459688842,2,1002
"irae","sexFemale",0.238059691198609,0.0318639954926213,2,1002
"irae","ecog1",0.0666804947371957,0.0342101112983708,2,1002
"irae","ecog2",0.0728028099246908,0.0632213074744898,2,1002
"irae","ecog3",-0.930172128686193,0.17328038088341,2,1002
"irae","cancer.typeBladder",-0.139242467726164,0.0659961153261786,2,1002
"irae","cancer.typeKidney",-0.185530852655598,0.0657671548902853,2,1002
"irae","cancer.typeMelanoma",0.158730676192791,0.0567546540108954,2,1002
"irae","practice.typeCommunity",0.0992577818473702,0.0353291323492857,2,1002
"irae","tx.combo",0.206246704509765,0.0323408557036053,2,1002
"irae","pd.l1Low",-0.131434103930211,0.038656697834646,2,1002
"irae","pd.l1High",0.180262106478078,0.0410982097142766,2,1002
"irae","on.ici",0.212332869014271,0.0486207501583268,2,1002
"death","(Intercept)",-8.93225891237995,0.092723003547222,3,1003
"death","ns(month, df = 3)1",0.509428375197808,0.0470827298397106,3,1003
"death","ns(month, df = 3)2",0.773934970770101,0.0818730407978327,3,1003
"death","ns(month, df = 3)3",1.05010619362433,0.0426516279642005,3,1003
"death","age",0.048117856490706,0.00104608840767069,3,1003
"death","sexFemale",0.00208843387392022,0.0197600286079081,3,1003
"death","ecog1",0.432032879185259,0.0228854626756552,3,1003
"death","ecog2",1.07963718999472,0.0293473526770215,3,1003
"death","ecog3",1.45279046953075,0.0445196846787136,3,1003
"death","cancer.typeBladder",0.193590895211433,0.0355920959559018,3,1003
"death","cancer.typeKidney",0.201316339893083,0.0362386854484117,3,1003
"death","cancer.typeMelanoma",-0.0720393722650905,0.0369657712248197,3,1003
"death","practice.typeCommunity",-0.0970952857243522,0.0209590857581711,3,1003
"death","initial.stageIV",0.45788944250313,0.0236192269456451,3,1003
"death","on.ici",-0.0283132682482878,0.0274797563173172,3,1003
"irae","(Intercept)",-6.2080536411511,0.139537685423128,3,1003
"irae","ns(month, df = 3)1",-0.151333322285628,0.0788232159604612,3,1003
"irae","ns(month, df = 3)2",-0.653394886549459,0.111631946257545,3,1003
"irae","ns(month, df = 3)3",-0.378319201763606,0.0928831678196068,3,1003
"irae","age",-0.00104799044163343,0.00170382660025179,3,1003
"irae","sexFemale",0.204528450773856,0.0323383960145857,3,1003
"irae","ecog1",0.210058587659509,0.0344702075515444,3,1003
"irae","ecog2",-0.183602184791756,0.070377134029038,3,1003
"irae","ecog3",-0.266888402636692,0.13883234068728,3,1003
"irae","cancer.typeBladder",0.0838433798310213,0.0617163682132887,3,1003
"irae","cancer.typeKidney",-0.14988774050626,0.0689943207168852,3,1003
"irae","cancer.typeMelanoma",0.375610104640921,0.0538203144177417,3,1003
"irae","practice.typeCommunity",0.0944360240748149,0.0358196695099371,3,1003
"irae","tx.combo",0.166573001119526,0.0328475662238955,3,1003
"irae","pd.l1Low",-0.0923793309257677,0.0394701491404136,3,1003
"irae","pd.l1High",0.275206857217641,0.0419873484886165,3,1003
"irae","on.ici",0.603901004687372,0.0523771725053911,3,1003
"death","(Intercept)",-9.38098022322734,0.0951298897130271,4,1004
"death","ns(month, df = 3)1",0.394631727917593,0.0476122197226324,4,1004
"death","ns(month, df = 3)2",1.02902107158922,0.0840126185714507,4,1004
"death","ns(month, df = 3)3",0.863720538373204,0.0435871712008247,4,1004
"death","age",0.0536315463476317,0.00107109242944807,4,1004
"death","sexFemale",0.0181924215582813,0.0198580932592504,4,1004
"death","ecog1",0.554311959825532,0.0234653026772934,4,1004
"death","ecog2",1.13229249809364,0.0296858507408176,4,1004
"death","ecog3",1.63445695407981,0.0446095127948914,4,1004
"death","cancer.typeBladder",0.0292372418036292,0.0361512316821162,4,1004
"death","cancer.typeKidney",0.170305900219584,0.0366826861054661,4,1004
"death","cancer.typeMelanoma",-0.0126777018455478,0.0384088375355874,4,1004
"death","practice.typeCommunity",0.00916791449785276,0.0219830623164043,4,1004
"death","initial.stageIV",0.360939303480513,0.0226188333635438,4,1004
"death","on.ici",-0.180168379925533,0.0273285556202652,4,1004
"irae","(Intercept)",-5.88012266761048,0.139776397399216,4,1004
"irae","ns(month, df = 3)1",-0.0412507307774144,0.0775476283473613,4,1004
"irae","ns(month, df = 3)2",-0.449475494521107,0.115209327463148,4,1004
"irae","ns(month, df = 3)3",-0.39465467295933,0.0887409828847336,4,1004
"irae","age",-0.00181134126533692,0.0017170216820761,4,1004
"irae","sexFemale",0.187038289286305,0.0323159852809553,4,1004
"irae","ecog1",-0.0385949049305418,0.0352591399175683,4,1004
"irae","ecog2",-0.0751924329859927,0.0628980791476099,4,1004
"irae","ecog3",0.00535542408467782,0.120263386588823,4,1004
"irae","cancer.typeBladder",-0.125310233762891,0.0658138389231516,4,1004
"irae","cancer.typeKidney",-0.294193811798247,0.0722769235283928,4,1004
"irae","cancer.typeMelanoma",0.271364138832632,0.0554134489903633,4,1004
"irae","practice.typeCommunity",-0.013092549611647,0.0355867511680173,4,1004
"irae","tx.combo",0.107954559780761,0.0328475800409714,4,1004
"irae","pd.l1Low",0.196198476706852,0.0378633801683893,4,1004
"irae","pd.l1High",0.251777102765668,0.0429805421829423,4,1004
"irae","on.ici",0.306649683619348,0.0494955675081722,4,1004
"death","(Intercept)",-9.33995709685357,0.0949161856316021,5,1005
"death","ns(month, df = 3)1",0.352247090734728,0.0476977986893457,5,1005
"death","ns(month, df = 3)2",0.927261240761527,0.0841853520937211,5,1005
"death","ns(month, df = 3)3",0.860436999394977,0.0430643175059534,5,1005
"death","age",0.0535735484762048,0.00106685400852925,5,1005
"death","sexFemale",0.0350804938697005,0.0198565559053112,5,1005
"death","ecog1",0.653741802190454,0.0237876468415128,5,1005
"death","ecog2",1.21394048170537,0.0300175525380408,5,1005
"death","ecog3",1.52050808926626,0.045878811575852,5,1005
"death","cancer.typeBladder",0.221572757749028,0.0339999913053895,5,1005
"death","cancer.typeKidney",0.18570374042838,0.0362052324443725,5,1005
"death","cancer.typeMelanoma",-0.194747349953812,0.0385567774271794,5,1005
"death","practice.typeCommunity",-0.118607717370867,0.0210914087703475,5,1005
"death","initial.stageIV",0.409355819301002,0.0234709599114481,5,1005
"death","on.ici",-0.245859099899916,0.0274156761026801,5,1005
"irae","(Intercept)",-6.13917132684026,0.135342029385157,5,1005
"irae","ns(month, df = 3)1",-0.405900348743449,0.0769050293509017,5,1005
"irae","ns(month, df = 3)2",-0.506038573145478,0.109664622399366,5,1005
"irae","ns(month, df = 3)3",-0.46269448135356,0.0885073318875855,5,1005
"irae","age",0.00129977810284029,0.00164420150676793,5,1005
"irae","sexFemale",0.206989365782852,0.0313804875525642,5,1005
"irae","ecog1",-0.0639635032816755,0.0344450148817664,5,1005
"irae","ecog2",-0.0194811830817702,0.0594912121845023,5,1005
"irae","ecog3",-0.106634400457281,0.115415910001352,5,1005
"irae","cancer.typeBladder",0.17256945633897,0.0576837393448881,5,1005
"irae","cancer.typeKidney",-0.12678609042463,0.0645111727630491,5,1005
"irae","cancer.typeMelanoma",-0.0404853463855627,0.060858266446176,5,1005
