"strategy","month","true.surv.death","true.surv.irae"
"disc.6mo",1,0.994033333333333,0.996
"disc.6mo",2,0.988633333333333,0.992133333333333
"disc.6mo",3,0.982266666666667,0.9884
"disc.6mo",4,0.976166666666667,0.984266666666667
"disc.6mo",5,0.969066666666667,0.980133333333333
"disc.6mo",6,0.961033333333333,0.9774
"disc.6mo",7,0.953066666666667,0.974633333333333
"disc.6mo",8,0.945733333333333,0.971466666666667
"disc.6mo",9,0.939233333333333,0.9682
"disc.6mo",10,0.931933333333333,0.965166666666667
"disc.6mo",11,0.924033333333333,0.962833333333333
"disc.6mo",12,0.915666666666667,0.960166666666667
"disc.6mo",13,0.9077,0.9577
"disc.6mo",14,0.900233333333333,0.955866666666667
"disc.6mo",15,0.892433333333333,0.953833333333333
"disc.6mo",16,0.8855,0.951633333333333
"disc.6mo",17,0.878033333333333,0.9495
"disc.6mo",18,0.870366666666667,0.947566666666667
"disc.6mo",19,0.863333333333333,0.945533333333333
"disc.6mo",20,0.855233333333333,0.9439
"disc.6mo",21,0.847166666666667,0.941933333333333
"disc.6mo",22,0.8391,0.940266666666667
"disc.6mo",23,0.8313,0.938133333333333
"disc.6mo",24,0.823966666666667,0.936433333333333
"disc.6mo",25,0.816533333333333,0.934733333333333
"disc.6mo",26,0.808233333333333,0.932666666666667
"disc.6mo",27,0.800066666666667,0.931233333333333
"disc.6mo",28,0.792433333333333,0.929733333333333
"disc.6mo",29,0.783933333333333,0.928433333333333
"disc.6mo",30,0.7755,0.926833333333333
"disc.6mo",31,0.7671,0.9252
"disc.6mo",32,0.758733333333333,0.9233
"disc.6mo",33,0.7512,0.9213
"disc.6mo",34,0.744,0.919666666666667
"disc.6mo",35,0.7368,0.918166666666667
"disc.6mo",36,0.7299,0.9166
"disc.6mo",37,0.722133333333333,0.914766666666667
"disc.6mo",38,0.713933333333333,0.9134
"disc.6mo",39,0.706166666666667,0.911666666666667
"disc.6mo",40,0.698033333333333,0.9101
"disc.6mo",41,0.690966666666667,0.9083
"disc.6mo",42,0.6836,0.9068
"disc.6mo",43,0.676166666666667,0.905266666666667
"disc.6mo",44,0.668066666666667,0.9035
"disc.6mo",45,0.660366666666667,0.901833333333333
"disc.6mo",46,0.652,0.900433333333333
"disc.6mo",47,0.6452,0.8989
"disc.6mo",48,0.6379,0.897333333333333
"disc.12mo",1,0.994033333333333,0.996
"disc.12mo",2,0.988633333333333,0.992133333333333
"disc.12mo",3,0.982266666666667,0.9884
"disc.12mo",4,0.976166666666667,0.984266666666667
"disc.12mo",5,0.969066666666667,0.980133333333333
"disc.12mo",6,0.962566666666667,0.976066666666667
"disc.12mo",7,0.956233333333333,0.972233333333333
"disc.12mo",8,0.950133333333333,0.9683
"disc.12mo",9,0.944733333333333,0.964066666666667
"disc.12mo",10,0.9387,0.96
"disc.12mo",11,0.932333333333333,0.956766666666667
"disc.12mo",12,0.923933333333333,0.954033333333333
"disc.12mo",13,0.915933333333333,0.951533333333333
"disc.12mo",14,0.9083,0.9497
"disc.12mo",15,0.9005,0.947666666666667
"disc.12mo",16,0.8935,0.9455
"disc.12mo",17,0.886033333333333,0.943366666666667
"disc.12mo",18,0.878333333333333,0.9414
"disc.12mo",19,0.8713,0.939366666666667
"disc.12mo",20,0.863233333333333,0.937666666666667
"disc.12mo",21,0.854966666666667,0.935733333333333
"disc.12mo",22,0.846866666666667,0.934133333333333
"disc.12mo",23,0.839033333333333,0.932
"disc.12mo",24,0.831733333333333,0.9303
"disc.12mo",25,0.8242,0.928566666666667
"disc.12mo",26,0.815833333333333,0.926466666666667
"disc.12mo",27,0.807433333333333,0.925033333333333
"disc.12mo",28,0.7998,0.923533333333333
"disc.12mo",29,0.791133333333333,0.922233333333333
"disc.12mo",30,0.7827,0.920633333333333
"disc.12mo",31,0.774166666666667,0.919033333333333
"disc.12mo",32,0.765666666666667,0.9171
"disc.12mo",33,0.758166666666667,0.9151
"disc.12mo",34,0.751,0.913433333333333
"disc.12mo",35,0.7438,0.911933333333333
"disc.12mo",36,0.7368,0.910333333333333
"disc.12mo",37,0.7289,0.9085
"disc.12mo",38,0.720633333333333,0.907133333333333
"disc.12mo",39,0.712833333333333,0.9054
"disc.12mo",40,0.704533333333333,0.903833333333333
"disc.12mo",41,0.697433333333333,0.902033333333333
"disc.12mo",42,0.6901,0.900566666666667
"disc.12mo",43,0.682633333333333,0.899033333333333
"disc.12mo",44,0.674433333333333,0.897266666666667
"disc.12mo",45,0.666766666666667,0.8956
"disc.12mo",46,0.6584,0.894233333333333
"disc.12mo",47,0.651666666666667,0.892666666666667
"disc.12mo",48,0.644333333333333,0.8911
"disc.18mo",1,0.994033333333333,0.996
"disc.18mo",2,0.988633333333333,0.992133333333333
"disc.18mo",3,0.982266666666667,0.9884
"disc.18mo",4,0.976166666666667,0.984266666666667
"disc.18mo",5,0.969066666666667,0.980133333333333
"disc.18mo",6,0.962566666666667,0.976066666666667
"disc.18mo",7,0.956233333333333,0.972233333333333
"disc.18mo",8,0.950133333333333,0.9683
"disc.18mo",9,0.944733333333333,0.964066666666667
"disc.18mo",10,0.9387,0.96
"disc.18mo",11,0.932333333333333,0.956766666666667
"disc.18mo",12,0.925433333333333,0.953233333333333
"disc.18mo",13,0.9186,0.949966666666667
"disc.18mo",14,0.9122,0.9476
"disc.18mo",15,0.9057,0.944633333333333
"disc.18mo",16,0.9,0.941633333333333
"disc.18mo",17,0.8939,0.939066666666667
"disc.18mo",18,0.886166666666667,0.937066666666667
"disc.18mo",19,0.878933333333333,0.934966666666667
"disc.18mo",20,0.870833333333333,0.933266666666667
"disc.18mo",21,0.8624,0.9313
"disc.18mo",22,0.854033333333333,0.9297
"disc.18mo",23,0.8462,0.9276
"disc.18mo",24,0.838666666666667,0.9259
"disc.18mo",25,0.831066666666667,0.924133333333333
"disc.18mo",26,0.822666666666667,0.922
"disc.18mo",27,0.814066666666667,0.920566666666667
"disc.18mo",28,0.806433333333333,0.919
"disc.18mo",29,0.797666666666667,0.9177
"disc.18mo",30,0.7891,0.9161
"disc.18mo",31,0.780566666666667,0.9145
"disc.18mo",32,0.772066666666667,0.912566666666667
"disc.18mo",33,0.764466666666667,0.9106
"disc.18mo",34,0.757166666666667,0.9089
"disc.18mo",35,0.7499,0.907433333333333
"disc.18mo",36,0.742833333333333,0.905733333333333
"disc.18mo",37,0.734966666666667,0.9039
"disc.18mo",38,0.7266,0.902533333333333
"disc.18mo",39,0.718833333333333,0.9008
"disc.18mo",40,0.7105,0.899233333333333
"disc.18mo",41,0.703366666666667,0.897466666666667
"disc.18mo",42,0.6961,0.896
"disc.18mo",43,0.688666666666667,0.894433333333333
"disc.18mo",44,0.6804,0.8927
"disc.18mo",45,0.6727,0.891033333333333
"disc.18mo",46,0.6643,0.889633333333333
"disc.18mo",47,0.6576,0.888066666666667
"disc.18mo",48,0.650133333333333,0.8865
"disc.24mo",1,0.994033333333333,0.996
"disc.24mo",2,0.988633333333333,0.992133333333333
"disc.24mo",3,0.982266666666667,0.9884
"disc.24mo",4,0.976166666666667,0.984266666666667
"disc.24mo",5,0.969066666666667,0.980133333333333
"disc.24mo",6,0.962566666666667,0.976066666666667
"disc.24mo",7,0.956233333333333,0.972233333333333
"disc.24mo",8,0.950133333333333,0.9683
"disc.24mo",9,0.944733333333333,0.964066666666667
"disc.24mo",10,0.9387,0.96
"disc.24mo",11,0.932333333333333,0.956766666666667
"disc.24mo",12,0.925433333333333,0.953233333333333
"disc.24mo",13,0.9186,0.949966666666667
"disc.24mo",14,0.9122,0.9476
"disc.24mo",15,0.9057,0.944633333333333
"disc.24mo",16,0.9,0.941633333333333
"disc.24mo",17,0.8939,0.939066666666667
"disc.24mo",18,0.8877,0.936366666666667
"disc.24mo",19,0.881566666666667,0.933166666666667
"disc.24mo",20,0.8747,0.930733333333333
"disc.24mo",21,0.867933333333333,0.928066666666667
"disc.24mo",22,0.860966666666667,0.925733333333333
"disc.24mo",23,0.8546,0.9228
"disc.24mo",24,0.846833333333333,0.921133333333333
"disc.24mo",25,0.839233333333333,0.919366666666667
"disc.24mo",26,0.830766666666667,0.917233333333333
"disc.24mo",27,0.8221,0.9158
"disc.24mo",28,0.814366666666667,0.9142
"disc.24mo",29,0.805466666666667,0.912866666666667
"disc.24mo",30,0.796833333333333,0.911266666666667
"disc.24mo",31,0.7881,0.909666666666667
"disc.24mo",32,0.7796,0.907733333333333
"disc.24mo",33,0.771966666666667,0.905666666666667
"disc.24mo",34,0.7646,0.903966666666667
"disc.24mo",35,0.757166666666667,0.9025
"disc.24mo",36,0.7499,0.9008
"disc.24mo",37,0.741933333333333,0.899
